station #,packets_transmitted,collisions,collision_prob
0,175,45,0.2571428571428571
1,205,54,0.2634146341463415
2,325,70,0.2153846153846154
3,362,78,0.2154696132596685
4,103,16,0.1553398058252427
5,213,34,0.1596244131455399
6,179,51,0.2849162011173184
7,354,77,0.2175141242937853
8,271,54,0.1992619926199262
9,112,18,0.16071428571428573
10,351,88,0.25071225071225073
11,349,83,0.23782234957020057
12,310,69,0.22258064516129034
13,130,28,0.2153846153846154
14,339,71,0.20943952802359883
15,87,29,0.3333333333333333
16,241,53,0.21991701244813278
17,206,52,0.2524271844660194
18,116,27,0.23275862068965517
19,80,20,0.25
20,223,43,0.19282511210762332
21,83,22,0.26506024096385544
22,181,42,0.23204419889502761
23,328,71,0.21646341463414634
24,223,44,0.19730941704035873
25,330,58,0.17575757575757575
26,145,27,0.18620689655172415
27,382,77,0.20157068062827224
28,248,52,0.20967741935483872
29,128,24,0.1875
30,270,51,0.18888888888888888
31,324,76,0.2345679012345679
32,385,77,0.2
33,314,72,0.22929936305732485
34,265,55,0.20754716981132076
35,227,49,0.21585903083700442
36,372,87,0.23387096774193547
37,200,36,0.18
38,318,73,0.22955974842767296
39,155,30,0.1935483870967742
40,358,63,0.17597765363128492
41,343,81,0.23615160349854228
42,150,27,0.18
43,351,86,0.245014245014245
44,169,39,0.23076923076923078
45,443,85,0.19187358916478556
46,97,17,0.17525773195876287
47,130,29,0.2230769230769231
48,397,90,0.22670025188916876
49,114,31,0.2719298245614035
50,365,80,0.2191780821917808
51,176,29,0.16477272727272727
52,183,30,0.16393442622950818
53,84,23,0.27380952380952384
54,205,49,0.23902439024390243
55,162,38,0.2345679012345679
56,291,63,0.21649484536082475
57,285,55,0.19298245614035087
58,198,48,0.24242424242424243
59,88,20,0.22727272727272727
60,231,58,0.2510822510822511
61,236,32,0.13559322033898305
62,125,26,0.208
63,299,62,0.20735785953177258
64,247,58,0.23481781376518218
65,130,28,0.2153846153846154
66,337,63,0.18694362017804153
67,263,61,0.23193916349809887
68,153,30,0.19607843137254902
69,269,71,0.26394052044609667
70,132,24,0.18181818181818182
71,172,41,0.23837209302325582
72,177,46,0.2598870056497175
73,167,42,0.25149700598802394
74,89,26,0.29213483146067415
75,243,64,0.26337448559670784
76,383,76,0.19843342036553524
77,368,77,0.20923913043478262
78,236,63,0.2669491525423729
79,121,28,0.23140495867768596
80,143,34,0.23776223776223776
81,208,50,0.2403846153846154
82,334,88,0.2634730538922156
83,216,65,0.30092592592592593
84,298,87,0.29194630872483224
85,259,74,0.2857142857142857
86,177,53,0.2994350282485876
87,368,79,0.21467391304347827
88,243,60,0.24691358024691357
89,396,76,0.1919191919191919
90,371,102,0.2749326145552561
91,277,66,0.23826714801444043
92,252,65,0.25793650793650796
93,194,36,0.18556701030927836
94,337,72,0.21364985163204747
95,247,49,0.19838056680161945
96,191,53,0.2774869109947644
97,102,24,0.23529411764705882
98,240,61,0.25416666666666665
99,270,67,0.24814814814814815
100,151,36,0.23841059602649006
101,401,79,0.1970074812967581
102,239,56,0.23430962343096234
103,230,52,0.22608695652173913
104,233,63,0.2703862660944206
105,114,18,0.15789473684210525
106,208,52,0.25
107,372,81,0.21774193548387097
108,353,58,0.1643059490084986
109,227,46,0.2026431718061674
110,224,45,0.20089285714285715
111,74,19,0.25675675675675674
112,177,41,0.23163841807909605
113,114,26,0.22807017543859648
114,314,83,0.2643312101910828
115,92,24,0.2608695652173913
116,245,53,0.2163265306122449
117,334,81,0.24251497005988024
118,256,51,0.19921875
119,255,56,0.2196078431372549
120,261,55,0.210727969348659
121,386,100,0.25906735751295334
122,293,61,0.20819112627986347
123,220,48,0.21818181818181817
124,179,29,0.16201117318435754
125,380,87,0.22894736842105262
126,321,82,0.2554517133956386
127,376,64,0.1702127659574468
128,234,63,0.2692307692307692
129,120,29,0.24166666666666667
130,171,40,0.23391812865497075
131,263,66,0.2509505703422053
132,166,48,0.2891566265060241
133,375,85,0.22666666666666666
134,431,81,0.18793503480278423
135,322,69,0.21428571428571427
136,286,42,0.14685314685314685
137,227,54,0.23788546255506607
138,327,64,0.19571865443425077
139,180,52,0.28888888888888886
140,147,33,0.22448979591836735
141,276,73,0.2644927536231884
142,398,111,0.27889447236180903
143,334,70,0.20958083832335328
144,180,45,0.25
145,147,29,0.19727891156462585
146,265,47,0.17735849056603772
147,198,45,0.22727272727272727
148,208,42,0.20192307692307693
149,320,82,0.25625
150,375,89,0.23733333333333334
151,263,67,0.25475285171102663
152,247,47,0.1902834008097166
153,315,59,0.1873015873015873
154,308,79,0.2564935064935065
155,384,98,0.2552083333333333
156,346,77,0.22254335260115607
157,240,49,0.20416666666666666
158,160,29,0.18125
159,227,46,0.2026431718061674
160,116,29,0.25
161,345,96,0.2782608695652174
162,123,20,0.16260162601626016
163,386,74,0.19170984455958548
164,343,73,0.21282798833819241
165,361,68,0.1883656509695291
166,261,60,0.22988505747126436
167,239,63,0.26359832635983266
168,340,90,0.2647058823529412
169,235,46,0.19574468085106383
170,333,67,0.2012012012012012
171,163,26,0.15950920245398773
172,183,30,0.16393442622950818
173,95,28,0.29473684210526313
174,74,20,0.2702702702702703
175,102,27,0.2647058823529412
